tipo_prompt,herramienta,no_prompt,Procedimientos técnicos,Análisis,Actualidad,Ejemplos vigentes,Herramientas actuales,Aplicación interdisciplinaria,Secuencia,Relevancia,Terminología adecuada,Precisión,Ejemplos relevantes,Ejemplos ilustrativos
No Experto,ChatGPT,Prompt 1,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 2,4,4,4,4,3,3,4,4,5,4,4,4
No Experto,ChatGPT,Prompt 3,5,4,5,5,3,3,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 4,4,4,4,4,3,3,4,4,5,4,4,4
No Experto,ChatGPT,Prompt 5,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 6,5,4,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 7,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,ChatGPT,Prompt 8,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 9,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,ChatGPT,Prompt 10,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 11,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 12,4,4,4,4,3,3,4,4,5,4,4,4
No Experto,ChatGPT,Prompt 13,5,4,5,5,3,3,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 14,4,4,4,4,3,3,4,4,5,4,4,4
No Experto,ChatGPT,Prompt 15,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 16,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,ChatGPT,Prompt 17,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 18,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,ChatGPT,Prompt 19,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 20,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,ChatGPT,Prompt 21,5,4,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 22,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,ChatGPT,Prompt 23,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 24,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,ChatGPT,Prompt 25,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,ChatGPT,Prompt 26,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,DeepSeek,Prompt 1,3,2,5,5,2,1,4,5,5,5,5,4
No Experto,DeepSeek,Prompt 2,2,1,4,4,1,1,3,5,5,4,4,3
No Experto,DeepSeek,Prompt 3,3,2,4,4,2,1,4,5,5,4,4,4
No Experto,DeepSeek,Prompt 4,4,3,4,4,3,1,3,4,4,3,3,3
No Experto,DeepSeek,Prompt 5,5,2,5,5,4,1,4,5,5,4,5,4
No Experto,DeepSeek,Prompt 6,3,3,4,4,4,2,4,5,5,5,4,4
No Experto,DeepSeek,Prompt 7,3,2,4,4,3,1,5,5,5,5,4,3
No Experto,DeepSeek,Prompt 8,4,3,5,5,3,4,4,5,5,4,5,4
No Experto,DeepSeek,Prompt 9,2,2,4,4,2,5,3,5,5,4,4,3
No Experto,DeepSeek,Prompt 10,3,1,4,5,1,1,4,5,5,5,5,5
No Experto,DeepSeek,Prompt 11,3,2,4,4,2,1,4,5,5,5,5,4
No Experto,DeepSeek,Prompt 12,4,3,5,5,2,3,5,5,5,5,5,5
No Experto,DeepSeek,Prompt 13,5,4,5,5,3,4,4,5,5,5,5,5
No Experto,DeepSeek,Prompt 14,3,2,4,4,1,1,4,5,5,5,5,4
No Experto,DeepSeek,Prompt 15,3,2,5,5,2,2,4,5,5,5,5,4
No Experto,DeepSeek,Prompt 16,4,3,4,4,2,1,5,5,5,5,5,5
No Experto,DeepSeek,Prompt 17,4,3,4,4,3,2,5,5,5,5,5,5
No Experto,DeepSeek,Prompt 18,5,4,5,5,2,3,4,5,5,5,5,5
No Experto,DeepSeek,Prompt 19,4,3,5,5,3,4,5,5,5,5,5,5
No Experto,DeepSeek,Prompt 20,4,3,5,5,5,3,5,5,5,5,4,4
No Experto,DeepSeek,Prompt 21,4,3,5,5,3,3,5,5,5,5,4,4
No Experto,DeepSeek,Prompt 22,5,4,5,5,3,2,5,5,5,5,4,4
No Experto,DeepSeek,Prompt 23,4,3,5,5,3,3,4,5,5,5,5,4
No Experto,DeepSeek,Prompt 24,5,4,5,5,3,4,5,5,5,5,5,5
No Experto,DeepSeek,Prompt 25,4,3,5,5,3,4,4,5,5,5,5,4
No Experto,DeepSeek,Prompt 26,4,3,5,5,3,4,5,5,5,5,5,5
No Experto,Copilot,Prompt 1,5,4,4,5,4,3,5,5,5,5,5,5
No Experto,Copilot,Prompt 2,4,3,3,4,3,2,4,4,4,4,4,3
