ID_Estudiante,Fecha_Registro,Edad,Estado_Civil,Lugar_Residencia,Calificaciones,Asistencia_a_clases,Semestre_Actual,Reprobacion_Asignaturas,Horas_Estudio_Semanales,Nivel_Socioeconomico,Ingreso_Familiar_Mensual,Apoyo_Financiero,Empleo_Parcial_o_Tiempo_Completo,Red_Apoyo_Social,Participacion_Extracurricular,Relaciones_Interpersonales,Problemas_Emocionales,Adaptacion_Entorno_Escolar,Personalidad,Autoeficacia_Academica,Horas_Sueno,Condiciones_Salud,Problemas_Familiares,Dependientes_en_Hogar,Tipo_Institucion,Distancia_Centro_Estudios,Acceso_Servicios_Basicos,Desercion
1,2024-03-25,25,Casado/a,Foráneo,94.86,54.45,8,4,2,Bajo,8875,Sí,Sí,Fuerte,Alta,Buenas,No,Mala,Extrovertido,Media,6,Mala,Sí,2,Privada,44.06,No,No
2,2024-05-26,18,Soltero/a,Foráneo,67.47,81.47,7,3,14,Bajo,18283,Sí,Sí,Fuerte,Baja,Buenas,No,Regular,Extrovertido,Baja,8,Buena,No,2,Privada,6.54,No,No
3,2024-03-15,23,Soltero/a,Foráneo,86.0,56.57,1,3,2,Medio,4238,Sí,No,Fuerte,Alta,Buenas,Sí,Buena,Introvertido,Alta,8,Buena,Sí,0,Pública,47.28,Sí,Sí
4,2024-05-14,18,Soltero/a,Foráneo,63.14,65.4,7,0,1,Bajo,11734,No,Sí,Moderado,Baja,Conflictivas,No,Buena,Extrovertido,Media,4,Mala,No,4,Pública,39.59,No,Sí
5,2024-06-27,22,Unión Libre,Local,99.75,77.82,7,2,9,Alto,19010,Sí,Sí,Fuerte,Media,Regulares,Sí,Mala,Extrovertido,Media,4,Regular,No,4,Pública,28.93,Sí,No
6,2024-05-15,22,Unión Libre,Local,85.57,53.31,8,3,19,Medio,11716,No,No,Débil,Baja,Regulares,Sí,Buena,Introvertido,Alta,10,Mala,Sí,1,Privada,49.85,No,Sí
7,2024-06-14,20,Soltero/a,Foráneo,65.71,50.68,5,5,11,Bajo,4492,Sí,Sí,Moderado,Baja,Buenas,No,Buena,Introvertido,Baja,10,Regular,Sí,5,Privada,14.25,No,No
8,2024-04-17,25,Unión Libre,Foráneo,74.26,62.07,8,2,5,Alto,15089,Sí,Sí,Débil,Media,Buenas,Sí,Buena,Extrovertido,Alta,10,Regular,Sí,3,Pública,11.16,Sí,Sí
9,2024-03-18,20,Casado/a,Local,91.54,65.87,6,0,3,Alto,10617,No,Sí,Débil,Alta,Conflictivas,Sí,Regular,Introvertido,Media,4,Buena,No,5,Pública,18.74,Sí,Sí
10,2024-05-31,19,Unión Libre,Local,78.28,81.68,2,2,19,Alto,13642,Sí,No,Fuerte,Media,Conflictivas,Sí,Mala,Introvertido,Alta,4,Buena,Sí,1,Pública,18.98,Sí,Sí
11,2024-04-01,25,Soltero/a,Foráneo,63.6,58.37,3,3,1,Bajo,17066,No,Sí,Fuerte,Alta,Buenas,Sí,Mala,Extrovertido,Alta,10,Buena,Sí,3,Privada,22.69,Sí,No
12,2024-03-28,18,Soltero/a,Foráneo,71.03,98.38,7,1,11,Bajo,12323,No,Sí,Débil,Media,Regulares,No,Mala,Extrovertido,Alta,9,Buena,No,2,Pública,20.48,Sí,Sí
13,2024-01-03,21,Unión Libre,Foráneo,70.69,55.55,6,5,13,Bajo,6280,Sí,No,Débil,Media,Conflictivas,Sí,Mala,Introvertido,Alta,9,Mala,Sí,0,Pública,8.0,Sí,No
14,2024-03-20,24,Soltero/a,Foráneo,90.11,86.31,2,5,10,Alto,3190,Sí,No,Moderado,Media,Conflictivas,No,Buena,Extrovertido,Alta,4,Buena,No,3,Pública,23.11,No,Sí
15,2024-06-24,18,Casado/a,Local,53.82,91.64,6,4,1,Medio,3515,Sí,No,Débil,Media,Buenas,Sí,Buena,Extrovertido,Media,8,Mala,Sí,5,Pública,23.7,Sí,Sí
16,2024-06-06,19,Soltero/a,Foráneo,59.19,88.3,6,2,10,Bajo,4521,No,Sí,Fuerte,Baja,Regulares,No,Regular,Extrovertido,Baja,8,Regular,No,2,Pública,5.63,No,No
17,2024-01-19,24,Casado/a,Foráneo,61.63,80.45,4,4,16,Bajo,9803,Sí,Sí,Débil,Alta,Buenas,No,Buena,Extrovertido,Alta,9,Buena,Sí,3,Pública,42.79,Sí,Sí
18,2024-03-17,23,Casado/a,Local,58.38,97.01,7,0,10,Medio,11414,No,No,Fuerte,Baja,Conflictivas,No,Buena,Introvertido,Alta,4,Mala,No,0,Privada,49.11,Sí,No
19,2024-04-14,23,Casado/a,Local,60.18,69.93,5,0,19,Medio,8577,No,No,Fuerte,Baja,Regulares,No,Regular,Extrovertido,Alta,5,Regular,No,1,Pública,44.16,Sí,Sí
20,2024-01-09,24,Soltero/a,Foráneo,56.6,69.41,8,1,4,Alto,10883,No,No,Débil,Media,Conflictivas,No,Buena,Introvertido,Media,10,Regular,Sí,0,Privada,7.86,Sí,No
21,2024-06-07,22,Unión Libre,Foráneo,66.36,60.35,2,0,13,Bajo,13644,No,Sí,Moderado,Media,Regulares,No,Regular,Introvertido,Baja,6,Mala,No,2,Privada,47.37,Sí,No
22,2024-06-19,25,Soltero/a,Foráneo,72.68,64.43,1,1,4,Bajo,19444,No,Sí,Débil,Alta,Conflictivas,No,Regular,Extrovertido,Media,5,Regular,No,1,Pública,39.79,Sí,Sí
