ID_Estudiante,Fecha_Registro,Edad,Estado_Civil,Lugar_Residencia,Calificaciones,Asistencia_a_clases,Semestre_Actual,Reprobacion_Asignaturas,Horas_Estudio_Semanales,Nivel_Socioeconomico,Ingreso_Familiar_Mensual,Apoyo_Financiero,Empleo_Parcial_o_Tiempo_Completo,Red_Apoyo_Social,Participacion_Extracurricular,Relaciones_Interpersonales,Problemas_Emocionales,Adaptacion_Entorno_Escolar,Personalidad,Autoeficacia_Academica,Horas_Sueno,Condiciones_Salud,Problemas_Familiares,Dependientes_en_Hogar,Tipo_Institucion,Distancia_Centro_Estudios,Acceso_Servicios_Basicos,Desercion
620,2024-03-25,19,Casado/a,Foráneo,66,86,3,1,8,Bajo,18319,Sí,Sí,Fuerte,Alta,Buenas,No,Mala,Extrovertido,Media,8,Mala,Sí,2,Privada,28,No,No
2003,2024-05-26,21,Soltero/a,Foráneo,82,65,7,5,-4,Bajo,9061,Sí,Sí,Fuerte,Baja,Buenas,No,Regular,Extrovertido,Baja,7,Buena,No,3,Privada,-3,No,No
3851,2024-03-15,21,Soltero/a,Foráneo,84,87,3,3,18,Medio,7570,Sí,No,Fuerte,Alta,Buenas,Sí,Buena,Introvertido,Alta,3,Buena,Sí,0,Pública,21,Sí,Sí
1282,2024-05-14,21,Soltero/a,Foráneo,81,80,1,1,8,Bajo,10788,No,Sí,Moderado,Baja,Conflictivas,No,Buena,Extrovertido,Media,4,Mala,No,0,Pública,26,No,Sí
2387,2024-06-27,19,Unión Libre,Local,81,77,7,3,9,Alto,7328,Sí,Sí,Fuerte,Media,Regulares,Sí,Mala,Extrovertido,Media,7,Regular,No,0,Pública,21,Sí,No
334,2024-05-15,22,Unión Libre,Local,73,83,9,4,1,Medio,8493,No,No,Débil,Baja,Regulares,Sí,Buena,Introvertido,Alta,6,Mala,Sí,2,Privada,18,No,Sí
2881,2024-06-14,22,Soltero/a,Foráneo,71,69,4,0,17,Bajo,15748,Sí,Sí,Moderado,Baja,Buenas,No,Buena,Introvertido,Baja,6,Regular,Sí,1,Privada,1,No,No
1494,2024-04-17,20,Unión Libre,Foráneo,68,89,1,1,9,Alto,13096,Sí,Sí,Débil,Media,Buenas,Sí,Buena,Extrovertido,Alta,7,Regular,Sí,6,Pública,24,Sí,Sí
2494,2024-03-18,20,Casado/a,Local,80,81,5,0,9,Alto,11446,No,Sí,Débil,Alta,Conflictivas,Sí,Regular,Introvertido,Media,8,Buena,No,5,Pública,39,Sí,Sí
3259,2024-05-31,18,Unión Libre,Local,87,62,7,2,7,Alto,13001,Sí,No,Fuerte,Media,Conflictivas,Sí,Mala,Introvertido,Alta,7,Buena,Sí,1,Pública,38,Sí,Sí
2949,2024-04-01,19,Soltero/a,Foráneo,87,95,6,2,7,Bajo,9963,No,Sí,Fuerte,Alta,Buenas,Sí,Mala,Extrovertido,Alta,10,Buena,Sí,3,Privada,26,Sí,No
1688,2024-03-28,18,Soltero/a,Foráneo,72,78,4,3,4,Bajo,10900,No,Sí,Débil,Media,Regulares,No,Mala,Extrovertido,Alta,7,Buena,No,2,Pública,31,Sí,Sí
3654,2024-01-03,17,Unión Libre,Foráneo,65,53,5,1,13,Bajo,3767,Sí,No,Débil,Media,Conflictivas,Sí,Mala,Introvertido,Alta,6,Mala,Sí,2,Pública,4,Sí,No
4254,2024-03-20,21,Soltero/a,Foráneo,77,79,4,3,2,Alto,6902,Sí,No,Moderado,Media,Conflictivas,No,Buena,Extrovertido,Alta,7,Buena,No,0,Pública,26,No,Sí
4246,2024-06-24,19,Casado/a,Local,82,63,7,3,1,Medio,18839,Sí,No,Débil,Media,Buenas,Sí,Buena,Extrovertido,Media,10,Mala,Sí,3,Pública,21,Sí,Sí
6393,2024-06-06,23,Soltero/a,Foráneo,58,61,10,5,16,Bajo,21877,No,Sí,Fuerte,Baja,Regulares,No,Regular,Extrovertido,Baja,7,Regular,No,1,Pública,23,No,No
1656,2024-01-19,21,Casado/a,Foráneo,95,71,7,3,0,Bajo,6855,Sí,Sí,Débil,Alta,Buenas,No,Buena,Extrovertido,Alta,9,Buena,Sí,1,Pública,18,Sí,Sí
2131,2024-03-17,20,Casado/a,Local,70,59,4,1,15,Medio,15903,No,No,Fuerte,Baja,Conflictivas,No,Buena,Introvertido,Alta,9,Mala,No,1,Privada,19,Sí,No
3455,2024-04-14,19,Casado/a,Local,38,87,5,2,8,Medio,5345,No,No,Fuerte,Baja,Regulares,No,Regular,Extrovertido,Alta,7,Regular,No,3,Pública,33,Sí,Sí
5025,2024-01-09,22,Soltero/a,Foráneo,94,61,0,1,7,Alto,10458,No,No,Débil,Media,Conflictivas,No,Buena,Introvertido,Media,9,Regular,Sí,3,Privada,15,Sí,No
2416,2024-06-07,22,Unión Libre,Foráneo,83,84,3,0,4,Bajo,12810,No,Sí,Moderado,Media,Regulares,No,Regular,Introvertido,Baja,6,Mala,No,2,Privada,16,Sí,No
2646,2024-06-19,23,Soltero/a,Foráneo,61,74,4,0,19,Bajo,15324,No,Sí,Débil,Alta,Conflictivas,No,Regular,Extrovertido,Media,5,Regular,No,3,Pública,24,Sí,Sí
1577,2024-06-25,22,Soltero/a,Foráneo,80,90,2,0,12,Bajo,12705,Sí,Sí,Moderado,Alta,Regulares,Sí,Regular,Extrovertido,Media,6,Regular,No,1,Pública,16,No,No
2803,2024-01-20,22,Soltero/a,Local,75,76,3,2,13,Medio,11494,No,No,Débil,Alta,Buenas,Sí,Regular,Extrovertido,Baja,7,Mala,Sí,2,Privada,42,No,No
356,2024-03-29,24,Unión Libre,Foráneo,58,59,2,1,15,Medio,9509,Sí,No,Fuerte,Baja,Buenas,Sí,Buena,Introvertido,Alta,8,Regular,No,2,Privada,29,Sí,Sí
716,2024-02-20,23,Soltero/a,Local,71,78,7,3,11,Alto,15046,Sí,No,Débil,Media,Buenas,No,Regular,Extrovertido,Baja,10,Regular,Sí,0,Pública,27,Sí,No
5299,2024-05-31,16,Casado/a,Foráneo,74,95,5,1,10,Bajo,11850,No,No,Moderado,Media,Conflictivas,No,Buena,Introvertido,Alta,8,Buena,Sí,3,Pública,25,Sí,Sí
867,2024-01-13,19,Casado/a,Foráneo,67,74,0,5,14,Bajo,8897,Sí,Sí,Débil,Baja,Conflictivas,No,Mala,Extrovertido,Alta,5,Regular,Sí,5,Pública,33,No,Sí
907,2024-06-06,24,Unión Libre,Local,82,75,3,5,14,Bajo,14106,No,No,Débil,Media,Regulares,No,Regular,Introvertido,Alta,4,Buena,Sí,1,Pública,18,Sí,No
1575,2024-01-15,23,Casado/a,Foráneo,76,56,5,1,3,Alto,15193,No,Sí,Fuerte,Media,Conflictivas,No,Regular,Introvertido,Alta,7,Buena,No,5,Privada,34,No,Sí
2970,2024-04-09,19,Casado/a,Foráneo,100,71,4,1,17,Medio,15095,No,No,Débil,Alta,Buenas,Sí,Mala,Extrovertido,Media,7,Buena,No,3,Privada,39,No,Sí
4641,2024-05-15,24,Unión Libre,Local,64,93,3,2,4,Medio,8728,Sí,Sí,Fuerte,Media,Buenas,No,Buena,Introvertido,Media,6,Mala,Sí,0,Privada,39,Sí,No
1855,2024-04-07,23,Casado/a,Local,85,81,8,1,-2,Medio,13593,Sí,No,Fuerte,Alta,Regulares,Sí,Mala,Introvertido,Media,9,Regular,No,3,Privada,29,Sí,No
2180,2024-03-10,24,Casado/a,Local,92,76,6,5,17,Bajo,10498,Sí,Sí,Fuerte,Baja,Conflictivas,No,Buena,Extrovertido,Media,3,Buena,No,5,Privada,23,Sí,Sí
1730,2024-03-10,22,Casado/a,Foráneo,83,62,7,5,2,Medio,15889,No,No,Moderado,Baja,Regulares,Sí,Buena,Extrovertido,Baja,7,Mala,Sí,1,Privada,22,No,Sí
1737,2024-01-31,22,Unión Libre,Local,58,103,7,1,10,Alto,15971,Sí,Sí,Moderado,Media,Regulares,No,Regular,Introvertido,Media,7,Buena,No,0,Privada,26,Sí,No
2599,2024-01-12,19,Unión Libre,Local,50,74,3,3,13,Bajo,13173,Sí,Sí,Fuerte,Media,Buenas,No,Regular,Introvertido,Alta,6,Buena,No,1,Pública,26,Sí,No
336,2024-03-28,19,Casado/a,Local,56,77,8,3,10,Medio,6111,Sí,Sí,Fuerte,Alta,Regulares,No,Mala,Introvertido,Baja,6,Buena,Sí,2,Pública,36,No,No
2753,2024-06-25,23,Unión Libre,Foráneo,84,68,9,0,13,Medio,6579,No,Sí,Moderado,Baja,Buenas,Sí,Buena,Introvertido,Baja,9,Mala,Sí,3,Pública,19,No,No
2314,2024-01-26,24,Unión Libre,Foráneo,78,78,3,2,17,Alto,19745,No,No,Débil,Media,Regulares,Sí,Regular,Introvertido,Baja,7,Mala,No,4,Pública,42,Sí,Sí
3230,2024-06-09,17,Casado/a,Foráneo,68,97,8,2,12,Bajo,12596,Sí,No,Fuerte,Media,Buenas,Sí,Regular,Extrovertido,Alta,8,Mala,No,3,Privada,44,Sí,No
1042,2024-03-12,20,Casado/a,Foráneo,85,79,2,2,9,Bajo,9759,Sí,Sí,Débil,Alta,Buenas,No,Buena,Introvertido,Baja,7,Mala,Sí,1,Privada,20,No,No
2383,2024-04-30,19,Soltero/a,Local,81,76,7,1,7,Alto,18959,Sí,No,Moderado,Alta,Regulares,Sí,Buena,Introvertido,Media,8,Regular,No,2,Privada,13,No,No
5863,2024-06-23,23,Unión Libre,Foráneo,84,80,3,4,17,Alto,6626,No,Sí,Fuerte,Media,Buenas,Sí,Mala,Introvertido,Baja,10,Buena,No,5,Privada,18,No,No
995,2024-03-11,20,Soltero/a,Foráneo,70,54,7,4,8,Bajo,9445,Sí,No,Débil,Baja,Regulares,Sí,Regular,Extrovertido,Media,7,Mala,No,3,Privada,10,No,Sí
3134,2024-05-31,18,Soltero/a,Local,57,92,4,2,1,Medio,12700,No,No,Fuerte,Baja,Regulares,No,Buena,Extrovertido,Media,7,Regular,No,3,Pública,11,Sí,No
1972,2024-03-19,23,Casado/a,Foráneo,93,82,8,2,17,Alto,16878,No,Sí,Fuerte,Baja,Regulares,Sí,Regular,Introvertido,Baja,7,Mala,No,0,Privada,43,No,No
116,2024-04-29,20,Unión Libre,Local,71,52,2,0,12,Medio,8053,No,No,Débil,Media,Conflictivas,No,Regular,Extrovertido,Baja,2,Mala,No,4,Privada,23,No,No
1959,2024-01-26,25,Soltero/a,Foráneo,82,85,5,1,13,Alto,15747,No,Sí,Fuerte,Baja,Buenas,Sí,Mala,Extrovertido,Baja,6,Buena,No,2,Privada,10,Sí,Sí
1711,2024-06-17,22,Soltero/a,Foráneo,52,70,7,4,13,Alto,8563,No,Sí,Fuerte,Alta,Buenas,Sí,Regular,Extrovertido,Alta,8,Mala,Sí,4,Privada,19,No,No
963,2024-05-27,21,Casado/a,Foráneo,100,63,9,2,13,Medio,20393,Sí,No,Débil,Media,Buenas,No,Regular,Introvertido,Alta,8,Regular,Sí,1,Pública,16,No,Sí
4289,2024-04-14,23,Casado/a,Local,69,79,4,4,1,Medio,12577,Sí,Sí,Fuerte,Baja,Conflictivas,Sí,Mala,Introvertido,Media,4,Regular,Sí,3,Pública,21,Sí,No
2750,2024-05-21,25,Soltero/a,Local,76,111,6,0,10,Alto,10274,Sí,No,Moderado,Media,Regulares,No,Mala,Extrovertido,Baja,7,Buena,No,1,Pública,18,No,No
968,2024-01-04,23,Soltero/a,Local,91,76,6,2,10,Bajo,16207,No,Sí,Moderado,Alta,Regulares,No,Mala,Extrovertido,Alta,6,Regular,No,0,Pública,8,Sí,Sí
2173,2024-05-01,20,Unión Libre,Foráneo,87,81,5,-1,2,Bajo,14782,No,No,Moderado,Alta,Buenas,Sí,Regular,Extrovertido,Baja,4,Buena,Sí,2,Privada,12,No,Sí
1889,2024-04-28,22,Soltero/a,Foráneo,58,73,4,2,0,Bajo,19614,Sí,No,Moderado,Alta,Conflictivas,Sí,Buena,Introvertido,Media,7,Buena,Sí,2,Privada,12,Sí,No
4678,2024-03-12,21,Unión Libre,Foráneo,52,66,1,3,7,Medio,13588,No,Sí,Moderado,Alta,Buenas,Sí,Regular,Introvertido,Baja,5,Buena,Sí,1,Privada,13,No,No
4204,2024-06-07,18,Soltero/a,Local,75,95,7,1,2,Bajo,14719,Sí,Sí,Fuerte,Media,Conflictivas,Sí,Buena,Introvertido,Alta,5,Buena,No,1,Privada,30,No,Sí
