edad,estado_civil,lugar_residencia,calificaciones,asistencia_a_clases,semestre_actual,reprobacion_asignaturas,horas_estudio_semanales,nivel_socioeconomico,ingreso_familiar_mensual,apoyo_financiero,empleo_parcial_o_tiempo_completo,red_apoyo_social,participacion_extracurricular,relaciones_interpersonales,problemas_emocionales,adaptacion_entorno_escolar,personalidad,autoeficacia_academica,horas_sueno,condiciones_salud,problemas_familiares,dependientes_en_hogar,tipo_institucion,distancia_centro_estudios,acceso_servicios_basicos,desercion
24,Casado,Local,77,78,-1,0,5,Medio,17834,No,No,Moderado,Media,Regulares,No,Mala,Extrovertido,Media,7,Mala,No,0,Privada,7,Si,Si
23,Union libre,Foráneo,84,77,4,4,14,Bajo,14960,No,No,Moderado,Media,Conflictivas,Si,Regular,Extrovertido,Baja,5,Regular,Si,0,Publica,26,Si,No
18,Union libre,Local,76,76,0,3,12,Medio,14284,Si,No,Debil,Media,Buenas,Si,Buena,Introvertido,Alta,6,Mala,Si,5,Publica,22,No,Si
24,Soltero,Foráneo,77,78,4,1,5,Medio,8544,No,No,Fuerte,Baja,Conflictivas,Si,Buena,Extrovertido,Media,8,Buena,Si,4,Publica,17,Si,Si
22,Soltero,Foráneo,95,89,6,3,-1,Medio,6870,Si,Si,Moderado,Baja,Regulares,No,Mala,Extrovertido,Media,6,Buena,No,2,Privada,10,Si,No
16,Soltero,Local,80,57,0,0,0,Medio,8621,No,No,Fuerte,Baja,Buenas,No,Buena,Introvertido,Alta,7,Buena,Si,2,Publica,38,No,Si
20,Soltero,Local,74,47,7,2,11,Medio,5781,Si,No,Moderado,Baja,Buenas,Si,Buena,Introvertido,Baja,5,Regular,No,2,Publica,20,No,Si
20,Soltero,Local,71,72,10,1,0,Medio,12007,Si,No,Debil,Media,Conflictivas,Si,Buena,Extrovertido,Alta,4,Mala,No,4,Publica,18,Si,No
18,Union libre,Local,66,75,0,2,9,Medio,8385,No,No,Debil,Media,Conflictivas,Si,Regular,Introvertido,Media,7,Regular,Si,6,Publica,18,No,No
22,Union libre,Foráneo,55,73,9,3,12,Medio,15182,Si,No,Debil,Alta,Conflictivas,Si,Mala,Introvertido,Alta,5,Regular,No,5,Privada,44,No,Si
22,Soltero,Local,80,75,3,3,16,Medio,9458,Si,Si,Debil,Media,Regulares,No,Mala,Extrovertido,Alta,6,Regular,No,1,Publica,26,Si,Si
19,Union libre,Foráneo,80,76,4,1,13,Medio,9879,No,No,Debil,Media,Regulares,No,Mala,Extrovertido,Alta,5,Buena,No,3,Privada,42,No,No
20,Casado,Local,87,81,6,0,11,Alto,12411,Si,No,Moderado,Alta,Conflictivas,No,Mala,Introvertido,Alta,4,Mala,Si,1,Publica,23,Si,Si
23,Soltero,Foráneo,72,67,2,2,13,Medio,12321,No,Si,Debil,Media,Regulares,Si,Buena,Extrovertido,Alta,4,Mala,Si,0,Publica,37,No,No
26,Casado,Local,95,75,5,-1,7,Medio,15106,No,No,Debil,Media,Regulares,Si,Buena,Extrovertido,Media,3,Mala,Si,1,Privada,-10,Si,Si
24,Soltero,Local,81,73,3,0,0,Medio,5021,No,Si,Moderado,Media,Conflictivas,No,Regular,Extrovertido,Baja,7,Regular,Si,-1,Publica,0,Si,Si
22,Soltero,Foráneo,89,58,7,4,9,Medio,4216,No,Si,Debil,Media,Buenas,No,Buena,Extrovertido,Alta,7,Regular,Si,0,Privada,14,Si,Si
22,Union libre,Local,91,78,2,0,8,Medio,12117,Si,No,Debil,Media,Regulares,Si,Buena,Introvertido,Alta,8,Mala,Si,4,Publica,25,Si,Si
22,Soltero,Local,93,67,0,2,5,Bajo,7419,Si,No,Debil,Baja,Regulares,No,Regular,Extrovertido,Alta,6,Regular,No,3,Publica,6,Si,No
20,Soltero,Local,76,72,5,1,7,Medio,12755,No,No,Moderado,Media,Regulares,Si,Buena,Introvertido,Media,5,Buena,Si,3,Publica,39,No,Si
23,Soltero,Foráneo,74,69,12,5,-4,Bajo,2525,Si,No,Debil,Media,Conflictivas,Si,Regular,Introvertido,Baja,3,Regular,Si,2,Privada,42,Si,No
20,Union libre,Local,55,95,5,2,15,Bajo,11388,Si,No,Debil,Media,Conflictivas,Si,Regular,Extrovertido,Media,12,Regular,No,4,Publica,28,No,No
20,Soltero,Local,80,83,3,1,9,Medio,14831,No,Si,Debil,Alta,Regulares,Si,Regular,Extrovertido,Media,5,Regular,Si,2,Privada,30,Si,Si
23,Casado,Local,105,105,7,4,19,Medio,11576,No,No,Fuerte,Media,Regulares,No,Regular,Extrovertido,Baja,10,Mala,No,2,Publica,34,Si,No
19,Union libre,Local,69,83,4,0,3,Medio,11189,No,No,Debil,Media,Regulares,Si,Buena,Introvertido,Alta,6,Regular,Si,0,Publica,43,Si,Si
17,Union libre,Foráneo,90,57,6,2,-2,Bajo,12364,Si,No,Debil,Alta,Buenas,No,Regular,Extrovertido,Baja,8,Regular,No,2,Publica,23,No,Si
21,Soltero,Foráneo,89,86,1,1,8,Medio,15385,Si,No,Debil,Media,Conflictivas,Si,Buena,Introvertido,Alta,4,Mala,Si,3,Publica,36,Si,No
17,Soltero,Local,95,42,12,2,19,Bajo,12770,No,No,Debil,Baja,Regulares,No,Mala,Extrovertido,Alta,5,Regular,No,3,Publica,28,Si,Si
21,Casado,Local,64,50,8,0,24,Medio,5174,No,Si,Moderado,Media,Regulares,No,Regular,Introvertido,Alta,8,Buena,Si,1,Privada,9,Si,Si
19,Casado,Foráneo,72,75,6,0,20,Medio,9049,No,No,Moderado,Alta,Regulares,No,Regular,Introvertido,Alta,9,Regular,Si,3,Publica,1,Si,No
21,Soltero,Local,86,67,4,0,1,Alto,8253,Si,No,Fuerte,Media,Regulares,Si,Mala,Extrovertido,Media,4,Buena,Si,3,Publica,49,No,No
20,Union libre,Local,106,76,5,3,7,Alto,14884,No,No,Fuerte,Media,Regulares,No,Buena,Introvertido,Media,5,Mala,Si,4,Publica,25,Si,No
20,Soltero,Foráneo,77,44,1,2,7,Medio,11206,Si,Si,Debil,Baja,Regulares,No,Mala,Introvertido,Media,5,Regular,Si,2,Publica,2,Si,Si
22,Union libre,Foráneo,59,63,10,1,16,Medio,9618,No,No,Debil,Media,Conflictivas,Si,Buena,Extrovertido,Media,7,Mala,No,1,Publica,7,No,No
20,Casado,Local,41,61,0,2,12,Medio,21586,No,Si,Debil,Baja,Regulares,Si,Buena,Extrovertido,Baja,6,Mala,No,0,Publica,17,Si,No
22,Soltero,Local,101,78,4,1,21,Bajo,9598,No,No,Debil,Alta,Regulares,No,Regular,Introvertido,Media,7,Mala,No,3,Publica,45,No,Si
22,Soltero,Local,60,101,6,2,8,Bajo,19744,Si,No,Moderado,Media,Regulares,No,Regular,Introvertido,Alta,8,Buena,No,1,Publica,1,Si,No
25,Soltero,Local,77,58,0,4,14,Medio,723,Si,No,Debil,Baja,Regulares,No,Mala,Introvertido,Baja,7,Regular,Si,1,Publica,18,No,Si
18,Union libre,Foráneo,78,102,12,1,11,Medio,12360,No,No,Moderado,Media,Buenas,Si,Buena,Introvertido,Baja,4,Regular,Si,2,Publica,35,Si,No
21,Soltero,Local,56,79,1,4,13,Medio,10718,Si,No,Fuerte,Media,Regulares,No,Regular,Introvertido,Baja,6,Mala,Si,1,Publica,18,Si,No
19,Union libre,Foráneo,95,82,4,2,0,Bajo,11349,Si,No,Moderado,Media,Buenas,Si,Regular,Extrovertido,Alta,4,Buena,Si,3,Privada,13,No,No
21,Soltero,Local,45,97,3,3,17,Medio,11800,Si,No,Debil,Baja,Conflictivas,Si,Buena,Introvertido,Baja,3,Buena,Si,3,Publica,6,Si,No
20,Union libre,Local,82,79,7,2,2,Medio,7269,No,No,Debil,Alta,Regulares,Si,Buena,Introvertido,Media,4,Mala,Si,3,Publica,37,Si,Si
21,Union libre,Local,84,88,4,1,3,Medio,12162,Si,No,Fuerte,Alta,Regulares,Si,Mala,Introvertido,Baja,10,Mala,Si,1,Privada,13,No,Si
22,Soltero,Foráneo,75,54,5,2,11,Medio,19372,No,No,Debil,Media,Buenas,No,Regular,Extrovertido,Media,6,Buena,Si,0,Publica,14,Si,Si
21,Union libre,Local,75,82,10,1,11,Medio,3029,Si,Si,Debil,Baja,Regulares,Si,Buena,Extrovertido,Media,9,Buena,Si,2,Publica,-1,Si,Si
22,Soltero,Local,83,82,0,0,13,Alto,17792,No,No,Moderado,Media,Conflictivas,Si,Regular,Introvertido,Baja,4,Buena,Si,0,Publica,14,Si,Si
23,Soltero,Local,83,60,5,0,11,Bajo,2956,No,No,Moderado,Baja,Conflictivas,Si,Regular,Extrovertido,Baja,5,Regular,Si,3,Publica,18,Si,No
24,Casado,Local,73,72,2,4,17,Bajo,15167,Si,No,Debil,Baja,Buenas,Si,Mala,Extrovertido,Baja,4,Regular,No,4,Publica,7,No,No
19,Soltero,Local,62,75,5,0,13,Bajo,10037,Si,No,Debil,Baja,Regulares,No,Regular,Extrovertido,Alta,8,Buena,Si,2,Privada,29,No,Si
20,Soltero,Local,64,78,10,3,6,Bajo,17078,No,No,Debil,Media,Regulares,No,Regular,Introvertido,Alta,5,Regular,No,2,Publica,9,Si,No
19,Union libre,Local,91,64,1,0,8,Medio,7413,Si,Si,Moderado,Baja,Regulares,Si,Mala,Introvertido,Media,6,Buena,No,5,Privada,10,Si,No
20,Casado,Local,81,78,6,1,8,Medio,4845,Si,No,Debil,Alta,Regulares,Si,Mala,Extrovertido,Baja,7,Regular,No,2,Publica,29,Si,No
22,Soltero,Local,59,89,4,1,16,Alto,17945,No,No,Debil,Media,Buenas,Si,Mala,Extrovertido,Alta,8,Buena,No,2,Publica,35,Si,No
18,Casado,Foráneo,71,74,3,1,5,Medio,14045,No,No,Moderado,Media,Conflictivas,Si,Regular,Extrovertido,Baja,4,Buena,Si,1,Publica,-6,Si,Si
23,Union libre,Local,100,82,6,3,17,Bajo,17516,No,No,Moderado,Baja,Regulares,No,Buena,Introvertido,Media,6,Regular,Si,3,Publica,-7,Si,Si
20,Union libre,Local,58,53,9,2,8,Medio,8116,No,Si,Debil,Media,Buenas,No,Regular,Introvertido,Baja,7,Buena,No,0,Publica,41,Si,No
17,Casado,Local,62,85,4,1,10,Medio,12446,No,No,Debil,Alta,Conflictivas,No,Buena,Introvertido,Alta,3,Regular,Si,0,Privada,10,Si,Si
19,Union libre,Local,51,79,2,1,10,Alto,8802,No,No,Moderado,Alta,Regulares,No,Mala,Introvertido,Alta,5,Buena,Si,4,Privada,16,No,Si
