edades,generos
13,Femenino
cuarenta y dos,Masculino
25,Masculino
29,nan
13,Masculino
-8,
11,Masculino
42,FEMENINO
-9,Femenino
13,Masculino
33,Femenino
19,Masculino
27,Masculino
-9,Masculino
49,M
diez,FEMENINO
22,FEMENINO
1,FEMENINO
47,Masculino
11,FEMENINO
33,Masculino
14,Masculino
38,Masculino
16,Femenino
48,Femenino
31,Femenino
17,FEMENINO
49,Femenino
5,Femenino
4,Masculino
36,Masculino
40,FEMENINO
33,Masculino
44,F
41,FEMENINO
46,Masculino
-8,Masculino
26,FEMENINO
40,Masculino
-4,FEMENINO
10,FEMENINO
-2,Masculino
28,Femenino
99,Masculino
-7,FEMENINO
14,Masculino
49,Femenino
3,Masculino
39,Femenino
47,Femenino
