Tipo_Prenda,Género,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesión,Género_Incluyente,Calidad
Pantalón,Caballero,Rojo,Formal,Marca C,1484.7,34,12,24,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Dama,Blanco,Casual,Marca C,1248.79,43,15,28,Ciencias Sociales y Humanidades,HombreMujer,Buena
Chaqueta,Caballero,Blanco,Casual,Marca D,636.38,42,9,21,Ciencias Sociales y Humanidades,Mujer,Buena
Pantalón,Caballero,Blanco,Casual,Marca A,1268.33,39,16,22,Artes,Hombre,Buena
Falda,Caballero,Blanco,Deportivo,Marca C,1683.6,38,9,24,Ingeniería,Mujer,Regular
Vestido,Dama,Verde,Casual,Marca D,348.59,33,2,30,Educación,Mujer,Buena
Chaqueta,Dama,Verde,Formal,Marca C,315.58,40,9,27,Educación,Mujer,Regular
Camisa,Dama,Blanco,Formal,Marca D,1695.67,36,5,21,Ingeniería,Hombre,Regular
Chaqueta,Caballero,Azul,Casual,Marca C,1189.68,41,6,26,Ingeniería,HombreMujer,Buena
Camisa,Dama,Blanco,Deportivo,Marca C,1327.38,33,7,24,Ciencias de la Salud,Mujer,Buena
Camisa,Dama,Verde,Deportivo,Marca C,1550.55,32,10,20,Ingeniería,Hombre,Buena
Pantalón,Dama,Verde,Casual,Marca B,1071.54,43,11,21,Educación,Mujer,Regular
Falda,Dama,Azul,Formal,Marca A,1925.18,44,4,23,Ciencias Sociales y Humanidades,HombreMujer,Buena
Falda,Dama,Rojo,Formal,Marca D,1080.58,33,3,27,Ingeniería,Hombre,Buena
Pantalón,Dama,Verde,Deportivo,Marca D,1089.88,39,8,27,Artes,Mujer,Regular
Falda,Caballero,Azul,Deportivo,Marca D,1470.7,41,9,24,Ciencias de la Salud,Hombre,Regular
Camisa,Dama,Azul,Casual,Marca B,1969.94,32,3,29,Educación,Mujer,Buena
Pantalón,Caballero,Negro,Deportivo,Marca C,1574.84,34,15,21,Ingeniería,Mujer,Buena
Pantalón,Caballero,Azul,Deportivo,Marca C,1611.35,40,0,23,Artes,Hombre,Regular
Camisa,Caballero,Verde,Formal,Marca C,1779.65,42,16,28,Artes,Hombre,Regular
Vestido,Dama,Rojo,Casual,Marca A,1764.92,40,9,20,Artes,Hombre,Buena
Camisa,Caballero,Rojo,Casual,Marca A,1510.3,33,0,27,Ingeniería,Hombre,Regular
Vestido,Caballero,Blanco,Deportivo,Marca A,883.19,41,8,24,Deportes,Mujer,Regular
Vestido,Caballero,Blanco,Formal,Marca A,1323.75,40,1,24,Educación,Hombre,Buena
Pantalón,Caballero,Blanco,Deportivo,Marca C,1882.74,36,6,27,Artes,Mujer,Buena
Falda,Caballero,Negro,Formal,Marca A,398.61,42,4,24,Ingeniería,Hombre,Buena
Falda,Dama,Blanco,Formal,Marca A,1343.74,38,9,30,Ingeniería,Hombre,Mala
Chaqueta,Dama,Negro,Formal,Marca D,236.75,33,11,30,Ciencias Sociales y Humanidades,HombreMujer,Buena
Chaqueta,Caballero,Rojo,Casual,Marca C,992.04,34,8,21,Artes,Mujer,Buena
Vestido,Caballero,Rojo,Casual,Marca C,842.19,33,12,26,Deportes,HombreMujer,Regular
Camisa,Caballero,Rojo,Formal,Marca C,1085.37,43,19,27,Educación,Mujer,Buena
Vestido,Dama,Negro,Formal,Marca D,612.25,42,0,22,Ciencias Sociales y Humanidades,Hombre,Buena
Chaqueta,Caballero,Blanco,Deportivo,Marca A,1124.1,32,8,23,Ciencias de la Salud,HombreMujer,Mala
Camisa,Dama,Blanco,Casual,Marca C,1651.81,42,4,20,Ingeniería,Mujer,Buena
Falda,Dama,Negro,Deportivo,Marca B,1633.69,37,9,24,Artes,Hombre,Buena
Camisa,Caballero,Rojo,Casual,Marca B,496.02,35,7,21,Ciencias de la Salud,Hombre,Buena
Camisa,Caballero,Negro,Formal,Marca D,441.71,34,0,26,Ingeniería,HombreMujer,Buena
Pantalón,Caballero,Blanco,Deportivo,Marca B,1955.41,34,6,21,Ciencias de la Salud,Hombre,Regular
Falda,Caballero,Negro,Formal,Marca C,1986.26,45,4,22,Ciencias Sociales y Humanidades,Mujer,Mala
Pantalón,Dama,Azul,Deportivo,Marca B,1819.55,33,12,24,Ingeniería,Mujer,Buena
Falda,Dama,Blanco,Casual,Marca D,221.22,37,3,24,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca B,1226.2,39,14,30,Deportes,Hombre,Regular
Vestido,Caballero,Negro,Deportivo,Marca D,1401.39,35,13,26,Artes,Hombre,Buena
Vestido,Caballero,Negro,Deportivo,Marca C,1931.98,44,7,29,Artes,Mujer,Buena
Camisa,Caballero,Azul,Deportivo,Marca C,1372,43,10,30,Educación,Hombre,Buena
Pantalón,Caballero,Blanco,Formal,Marca D,357.54,33,15,24,Deportes,Mujer,Mala
Pantalón,Dama,Rojo,Formal,Marca A,899.94,32,18,25,Ciencias de la Salud,Mujer,Regular
Camisa,Dama,Azul,Formal,Marca B,782.71,34,10,22,Artes,Mujer,Regular
Falda,Caballero,Negro,Deportivo,Marca B,993.11,34,19,29,Ingeniería,Mujer,Buena
Camisa,Dama,Verde,Formal,Marca B,539.29,39,13,26,Deportes,Mujer,Buena
Falda,Dama,Azul,Deportivo,Marca C,1482.3,42,17,23,Educación,Mujer,Mala
Vestido,Dama,Azul,Casual,Marca A,1020.85,45,11,29,Educación,HombreMujer,Regular
Vestido,Dama,Negro,Casual,Marca B,221.96,36,2,29,Artes,Hombre,Buena
Falda,Dama,Negro,Deportivo,Marca B,1932.8,42,18,20,Educación,Hombre,Mala
Chaqueta,Dama,Verde,Formal,Marca A,1036.54,33,8,28,Artes,HombreMujer,Mala
Chaqueta,Caballero,Rojo,Deportivo,Marca C,1120.06,38,0,23,Ciencias Sociales y Humanidades,Hombre,Mala
Pantalón,Caballero,Verde,Casual,Marca A,1209.22,34,9,30,Deportes,Mujer,Regular
Vestido,Dama,Azul,Deportivo,Marca D,1108.49,41,18,20,Ciencias de la Salud,Mujer,Buena
Chaqueta,Caballero,Verde,Casual,Marca D,1146.6,43,2,24,Ciencias Sociales y Humanidades,Mujer,Mala
Falda,Caballero,Azul,Deportivo,Marca C,1820.33,37,9,26,Ciencias de la Salud,Mujer,Buena
Falda,Caballero,Verde,Formal,Marca C,1514.67,36,18,29,Educación,Hombre,Mala
Camisa,Caballero,Negro,Casual,Marca B,1369.79,34,3,30,Ingeniería,Hombre,Buena
Vestido,Dama,Negro,Deportivo,Marca C,1039.18,42,3,27,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Caballero,Verde,Deportivo,Marca D,456.44,42,0,22,Artes,Hombre,Buena
Chaqueta,Caballero,Verde,Deportivo,Marca D,832.43,36,2,30,Artes,Mujer,Regular
Camisa,Dama,Blanco,Casual,Marca B,1802.01,36,14,28,Deportes,Mujer,Regular
Camisa,Dama,Blanco,Deportivo,Marca A,783.12,43,1,30,Ciencias Sociales y Humanidades,Hombre,Mala
Vestido,Caballero,Azul,Formal,Marca C,644.49,34,7,26,Deportes,Hombre,Regular
Falda,Caballero,Blanco,Casual,Marca D,1694.87,43,15,30,Educación,Hombre,Regular
Falda,Dama,Verde,Deportivo,Marca A,1967.19,38,2,27,Ciencias de la Salud,Mujer,Mala
Falda,Dama,Blanco,Formal,Marca D,1176.58,35,13,23,Educación,HombreMujer,Regular
Falda,Dama,Verde,Deportivo,Marca D,615.05,41,14,21,Artes,HombreMujer,Buena
Falda,Dama,Negro,Formal,Marca B,1823.97,34,5,22,Artes,Mujer,Buena
Vestido,Caballero,Rojo,Deportivo,Marca D,1818.56,38,6,23,Artes,Mujer,Regular
Vestido,Dama,Verde,Deportivo,Marca D,1157.98,37,13,23,Deportes,Hombre,Regular
Pantalón,Caballero,Verde,Deportivo,Marca D,373.44,36,16,24,Ciencias de la Salud,Mujer,Buena
Chaqueta,Caballero,Rojo,Formal,Marca C,555.43,35,5,28,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Caballero,Verde,Formal,Marca C,691.79,45,2,24,Ciencias de la Salud,Hombre,Regular
Chaqueta,Dama,Azul,Deportivo,Marca A,575.14,40,16,21,Ciencias Sociales y Humanidades,Mujer,Mala
Vestido,Caballero,Verde,Deportivo,Marca D,760.66,42,8,24,Ingeniería,Mujer,Regular
Vestido,Caballero,Verde,Casual,Marca B,1023.91,43,6,23,Ingeniería,Hombre,Buena
Chaqueta,Caballero,Azul,Formal,Marca A,533.94,44,10,28,Educación,Mujer,Regular
Falda,Dama,Azul,Formal,Marca D,1966.02,37,7,27,Educación,Hombre,Buena
Pantalón,Dama,Azul,Deportivo,Marca C,681.09,38,8,26,Deportes,HombreMujer,Mala
Falda,Caballero,Rojo,Deportivo,Marca A,1521.74,40,11,21,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Dama,Blanco,Casual,Marca C,1798.06,36,19,27,Ciencias Sociales y Humanidades,HombreMujer,Mala
Falda,Caballero,Blanco,Casual,Marca B,1945.57,44,9,27,Deportes,Mujer,Regular
Pantalón,Caballero,Azul,Casual,Marca A,1189.68,37,12,23,Artes,Hombre,Regular
Chaqueta,Caballero,Negro,Formal,Marca A,816.25,34,3,28,Ciencias de la Salud,Mujer,Buena
Camisa,Dama,Verde,Casual,Marca A,1924.63,45,19,24,Artes,Mujer,Regular
Chaqueta,Dama,Verde,Formal,Marca B,385.69,40,10,29,Ingeniería,Mujer,Buena
Camisa,Dama,Negro,Formal,Marca B,1121.97,35,1,20,Ciencias de la Salud,Mujer,Buena
Vestido,Dama,Negro,Deportivo,Marca B,1149.94,36,8,27,Artes,Hombre,Buena
Camisa,Dama,Rojo,Deportivo,Marca D,1764.09,37,18,25,Ingeniería,HombreMujer,Regular
Camisa,Caballero,Rojo,Deportivo,Marca D,241.49,32,2,21,Deportes,HombreMujer,Regular
Falda,Caballero,Azul,Formal,Marca C,1830.98,33,18,28,Deportes,Hombre,Buena
Falda,Caballero,Azul,Deportivo,Marca D,1156.55,34,9,20,Ciencias Sociales y Humanidades,Hombre,Buena
Vestido,Dama,Blanco,Deportivo,Marca A,1119.23,40,11,26,Ciencias Sociales y Humanidades,Mujer,Buena
Vestido,Dama,Negro,Casual,Marca A,1826.83,45,17,20,Deportes,Mujer,Buena
Pantalón,Caballero,Verde,Deportivo,Marca A,796.5,34,15,23,Ciencias de la Salud,Hombre,Buena
Chaqueta,Dama,Azul,Casual,Marca B,1870.06,45,15,28,Ingeniería,Hombre,Buena
Camisa,Dama,Negro,Deportivo,Marca B,685.04,45,4,21,Deportes,Hombre,Buena
Pantalón,Dama,Azul,Casual,Marca D,231.13,36,2,30,Artes,Mujer,Buena
Camisa,Dama,Azul,Formal,Marca A,522.79,37,6,28,Educación,HombreMujer,Buena
Falda,Dama,Negro,Casual,Marca B,419.05,44,3,27,Deportes,Mujer,Buena
Pantalón,Dama,Azul,Deportivo,Marca A,1825.17,32,17,20,Deportes,Hombre,Buena
Chaqueta,Dama,Verde,Casual,Marca D,493.34,44,8,21,Educación,Hombre,Mala
Chaqueta,Dama,Negro,Deportivo,Marca A,718.29,38,6,20,Deportes,Mujer,Mala
