fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2018-01-01,41.0,994.0,27.0,0,140.0,87.0,378.0,48.0,26.0
2018-01-02,37.0,1036.0,25.0,0,759.0,65.0,243.0,46.0,24.0
2018-01-03,30.0,1024.0,89.0,1,426.0,33.0,160.0,49.0,16.0
2018-01-04,29.0,925.0,66.0,1,863.0,10.0,491.0,28.0,18.0
2018-01-05,36.0,1036.0,57.0,0,787.0,84.0,365.0,50.0,28.0
2018-01-06,41.0,975.0,42.0,1,272.0,56.0,190.0,52.0,17.0
2018-01-07,20.0,1051.0,94.0,0,236.0,37.0,204.0,78.0,22.0
2018-01-08,25.0,1011.0,39.0,0,559.0,56.0,169.0,46.0,15.0
2018-01-09,38.0,945.0,60.0,1,497.0,30.0,98.0,46.0,17.0
2018-01-10,36.0,1017.0,75.0,0,572.0,90.0,405.0,39.0,30.0
2018-01-11,38.0,929.0,47.0,1,755.0,55.0,498.0,57.0,14.0
2018-01-12,44.0,929.0,88.0,0,938.0,19.0,212.0,52.0,28.0
2018-01-13,25.0,951.0,72.0,0,973.0,70.0,295.0,65.0,12.0
2018-01-14,35.0,989.0,27.0,0,716.0,18.0,96.0,54.0,16.0
2018-01-15,41.0,974.0,78.0,0,636.0,92.0,342.0,51.0,22.0
2018-01-16,33.0,1016.0,36.0,1,590.0,88.0,150.0,42.0,17.0
2018-01-17,31.0,1043.0,84.0,0,126.0,35.0,39.0,52.0,26.0
2018-01-18,35.0,1059.0,36.0,1,403.0,57.0,60.0,50.0,12.0
2018-01-19,34.0,1006.0,77.0,1,973.0,83.0,453.0,43.0,32.0
2018-01-20,28.0,1033.0,56.0,1,391.0,7.0,280.0,54.0,19.0
2018-01-21,37.0,1054.0,51.0,1,889.0,20.0,490.0,73.0,22.0
2018-01-22,43.0,1034.0,87.0,0,979.0,98.0,215.0,46.0,29.0
2018-01-23,26.0,948.0,95.0,0,488.0,93.0,324.0,59.0,23.0
2018-01-24,29.0,967.0,46.0,0,630.0,38.0,434.0,47.0,17.0
2018-01-25,35.0,1003.0,47.0,0,209.0,18.0,37.0,46.0,18.0
2018-01-26,27.0,949.0,90.0,0,126.0,88.0,485.0,38.0,23.0
2018-01-27,32.0,958.0,82.0,0,575.0,60.0,444.0,54.0,26.0
2018-01-28,23.0,989.0,61.0,1,174.0,24.0,99.0,57.0,14.0
2018-01-29,30.0,928.0,25.0,0,282.0,100.0,394.0,59.0,23.0
2018-01-30,32.0,1039.0,72.0,0,463.0,93.0,95.0,49.0,15.0
2018-01-31,35.0,1051.0,45.0,0,610.0,80.0,260.0,67.0,22.0
2018-02-01,35.0,1072.0,84.0,0,943.0,6.0,255.0,48.0,30.0
2018-02-02,24.0,1009.0,41.0,1,155.0,38.0,210.0,55.0,13.0
2018-02-03,32.0,1032.0,98.0,1,720.0,95.0,295.0,67.0,20.0
2018-02-04,27.0,942.0,63.0,0,546.0,0.0,185.0,47.0,23.0
2018-02-05,33.0,979.0,40.0,1,313.0,85.0,187.0,58.0,13.0
2018-02-06,38.0,973.0,61.0,0,768.0,21.0,359.0,70.0,18.0
2018-02-07,32.0,972.0,27.0,0,389.0,27.0,67.0,62.0,16.0
2018-02-08,30.0,1023.0,23.0,1,613.0,70.0,175.0,41.0,12.0
2018-02-09,35.0,1040.0,63.0,1,207.0,25.0,225.0,46.0,9.0
2018-02-10,39.0,988.0,74.0,0,285.0,55.0,228.0,32.0,16.0
2018-02-11,31.0,1008.0,59.0,0,538.0,11.0,87.0,59.0,23.0
2018-02-12,33.0,964.0,72.0,1,409.0,57.0,163.0,38.0,13.0
2018-02-13,32.0,1017.0,83.0,1,960.0,32.0,336.0,55.0,25.0
2018-02-14,36.0,1119.0,29.0,0,416.0,87.0,162.0,44.0,20.0
2018-02-15,30.0,964.0,22.0,0,384.0,44.0,402.0,43.0,23.0
2018-02-16,38.0,929.0,96.0,0,538.0,77.0,23.0,56.0,18.0
2018-02-17,29.0,1024.0,86.0,1,766.0,30.0,378.0,29.0,25.0
2018-02-18,25.0,1092.0,25.0,1,588.0,42.0,97.0,43.0,14.0
2018-02-19,30.0,941.0,95.0,1,554.0,67.0,349.0,50.0,20.0
2018-02-20,28.0,1027.0,75.0,1,672.0,69.0,154.0,56.0,11.0
2018-02-21,36.0,1013.0,28.0,1,742.0,14.0,21.0,50.0,10.0
2018-02-22,44.0,953.0,80.0,1,145.0,12.0,97.0,61.0,18.0
2018-02-23,37.0,984.0,22.0,0,551.0,34.0,241.0,42.0,12.0
2018-02-24,33.0,979.0,71.0,0,109.0,97.0,205.0,33.0,18.0
2018-02-25,38.0,956.0,61.0,0,960.0,40.0,297.0,48.0,15.0
2018-02-26,40.0,1050.0,23.0,0,708.0,95.0,333.0,30.0,24.0
2018-02-27,33.0,986.0,93.0,0,844.0,23.0,171.0,49.0,30.0
2018-02-28,40.0,1058.0,68.0,0,483.0,57.0,193.0,57.0,16.0
2018-03-01,28.0,999.0,98.0,0,726.0,9.0,424.0,43.0,27.0
2018-03-02,42.0,952.0,79.0,0,910.0,11.0,324.0,55.0,23.0
2018-03-03,29.0,1080.0,66.0,0,330.0,13.0,136.0,34.0,14.0
2018-03-04,31.0,969.0,90.0,1,452.0,79.0,246.0,49.0,11.0
2018-03-05,23.0,999.0,23.0,1,714.0,76.0,411.0,57.0,22.0
2018-03-06,38.0,1060.0,44.0,0,657.0,39.0,372.0,49.0,22.0
2018-03-07,39.0,1044.0,79.0,1,599.0,25.0,167.0,41.0,20.0
2018-03-08,22.0,1010.0,97.0,0,847.0,80.0,223.0,20.0,23.0
2018-03-09,33.0,1020.0,100.0,0,200.0,57.0,496.0,51.0,24.0
2018-03-10,32.0,1006.0,75.0,1,769.0,87.0,434.0,37.0,21.0
2018-03-11,32.0,1012.0,29.0,1,938.0,76.0,207.0,36.0,25.0
2018-03-12,23.0,994.0,58.0,0,628.0,85.0,72.0,34.0,17.0
2018-03-13,41.0,954.0,88.0,1,422.0,95.0,361.0,50.0,25.0
